text,class
'Uluslararası Sakin Kentler Birliğince Türkiyenin 11inci sakin kenti seçilen Erzurumun Uzundere ilçesindeki Tortum Şelalesi her mevsimde olduğu gibi sonbahar da ziyaretçilerin ilgisini çekiyor. UNESCOnun Dünya Mirası Listesine aday gösterilen Erzurumun Uzundere ilçesindeki dünyanın en yüksek 3üncü şelalesi olan Tortum Şelalesi sonbaharla birlikte büründüğü farklı güzellikle ziyaretçilerini ağırlıyor. Erzurum-Artvin kara yolunun 110uncu kilometresinde yer alan ve 2016da Uluslararası Sakin Kentler Birliğince Türkiyenin 11inci sakin kenti seçilen Uzundere ilçesindeki şelale 21 metrelik genişliği ve 48 metre yükseklikten dökülmesiyle dikkati çekiyor. ',Yasam
'Polonyada hasta bir tilki çareyi alışveriş merkezinde aradı. Uzun uğraşlar sonucu yakalanan tilki hayvan barınağında tedavi altına alındı. Polonyanın Inowroclaw kentinde bir alışveriş merkezinde bulunan yapı markete tilki girdi. Müşterilerin ve çalışanların şaşkın bakışları arasında markete dalan tilki reyonlar arasında hızlıca gözden kayboldu. Çalışanların haber vermesi üzerine yapı markete zabıta ekipleri ve hayvan barınağı görevlileri geldi. Marketin rafları arasında tilkinin yerini belirleyen ekipler daha sonra tilkinin kaçmaması için bulunduğu kısmı suntalar yardımıyla çembere aldı. Uzun süren uğraşlar sonucu barınak görevlileri tilkiyi yakalamayı başardı. Görevlilerin beraberinde getirdiği kafese konulan tilki kafesten çıkabilmek için zaman zaman kafesin demirlerini ısırarak parçalamaya çalıştı. Barınağa götürülen tilkinin yapılan muayenesinde hasta olduğu belirlendi. Barınak yetkilileri tedavisine başlanan tilkinin sağlığına kavuşmasının ardından doğaya salınacağını bildirdi. ',Dunya
'Çinin Hong Kong Özel İdari Bölgesinde halk hazirandan bu yana süren Çin ve hükümet karşıtı protestoların gölgesinde mahalli idare seçimi için sandık başına gitti. Şüphelilerin Çine iade yasa tasarısına karşı haziranda başlayan hükümet ve Çin karşıtı protestoların giderek şiddetlendiği 7 milyon 400 bin nüfuslu kentte halk yerel saatle 07.30dan itibaren 18 seçim bölgesinde 452 belediye meclisi üyesini belirlemek üzere oy kullanmaya başladı. Bu seçim için bu yıl 4 milyon 130 bin seçmenin kayıt yaptırdığı otonom bölgede halkın sandığa yoğun ilgisi dikkati çekiyor. Hükümet ve milletvekillerinin Pekin merkezi yönetiminin belirlediği adaylar üzerinden seçildiği Hong Kongda tek \"tam demokratik\" sandık pratiği özelliği taşıyan yerel seçimin ilk 4 saatinde 1 milyondan fazla seçmen oy kullandı. Yerel saatle 22.30a kadar oy kullanılabilecek seçime katılım ilk 4 saatte 340 bin kişinin oy kullandığı bir önceki yerel seçime oranla yaklaşık üç kat oldu. Sabahın erken saatlerinden itibaren kent genelindeki 600 oy kullanma merkezine akın eden Hong Konglular seçim salonları önünde uzun kuyruklar oluşturdu. Kentin kuzey yakasında bulunan Kawloon Parktaki seçim noktasında oyunu kullandıktan sonra AA muhabirine konuşan seçmen Kevin Tsue \"Bu seçim eğer adil olursa Hong Kongda bazı şeylerin değişmesine vesile olur. Tabii adil olmazsa da protestolar sürer ve başka bir yöne savruluruz.\" şeklinde konuştu. Soyadının Chao olduğunu söyleyen bir seçmen ise sandığa giderek demokratik hakkını kullandığını söyledi. Demokrasi ve özgürlük taleplerinin hükümet tarafından yerine getirilmesi noktasında \"ümitsiz\" olduğunu dile getiren Chao \"Özgürlüklerimizin garanti altında olmasını istiyoruz ancak mevcut Hong Kong hükümeti bu konuda hiçbir şey yapmıyor ve Pekin demokrasi ve özgürlüğümüzü elimizden alıyor. Özgür Hong Kong için protestoları sürdüreceğiz.\" ifadesini kullandı. Milletvekilleri kabine üyeleri ve hükümet liderinin 1200 kişilik komite tarafından Pekin yönetiminin belirlediği adaylar üzerinden seçildiği kentte demokrasi savunucuları bu tek \"tam demokratik\" sandık pratiğine Pekinin bölgedeki baskınlığını kırmak adına büyük önem veriyor. Yerel seçime katılan 1104 adaydan ipi önde göğüsleyenler temsil ettikleri bölgelerde yaşayan vatandaşlar adına 1200 kişilik komiteye girerek hükümeti belirlemek üzere oy verme hakkına da sahip olacak. Hong Kong 1898de imzalanan \"kira sözleşmesi\" ile uzun yıllar İngiltere hakimiyetinde kaldıktan sonra 1997de Çine devredilmişti. İmzalanan ortak deklarasyon çerçevesinde Hong Konga 2047ye kadar basın ifade toplanma inanç ve serbest akademik çalışma gibi özgürlükleri ile bağımsız idari ve hukuki yapısını koruma hakkı tanınmıştı. Hong Kong Çine bağlı olmasına rağmen kendine ait para birimi dil hukuk sistemi ve kimlik kullanıyor. Özerk yapılı bölgenin sadece savunma ve dış politika gibi konularda Pekine bağlı olduğu bu yönetim modeli \"bir ülke iki sistem\" olarak adlandırılıyor. Demokrasi savunucuları başta Hong Kongda adayların Pekin yönetimi tarafından belirlendiği seçim modeli olmak üzere bölgedeki mevcut Çin kaynaklı pratiklerin söz konusu modele aykırı olduğu görüşünü savunuyor. ',Dunya
'Amerikan Merkezi İstihbarat Teşkilatı’nın (CIA) eski bir çalışanı Çin Halk Cumhuriyeti için casusluk yaptığı gerekçesiyle ABD’nin Virginia eyaleti federal mahkemesi tarafından geçen cuma 19 yıl hapis cezasına mahkûm edildi. 55 yaşındaki Jerry Chuan Shing Lee isimli eski istihbarat görevlisi 2007’de CIA’den ayrılarak Hong Kong’a yerleşmiş. Daha sonra Lee’ye 2010 yılında iki Çinli istihbarat yetkilisi 100 bin dolar (570 bin TL) ve CIA’den bilgi aktarmak karşılığında “ömür boyu�? koruma teklif etmiş. 2018 Ocak ayında New York’ta havalimanında tutuklanan Jerry Chuan Shing Lee geçen mayısta suçunu itiraf etmişti.Öte yandan Çin için casusluk yaptığını itiraf eden Çin vatandaşı Vang “William�? Liçiang Avustralya Güvenlik İstihbarat Teşkilatı’na (ASIO) bilgi vererek siyasi sığınma talebinde bulundu. Vang’ın eşi ve küçük oğluyla turist vizesiyle yaşadığı Sydney’de bilinmeyen bir yerde tutulduğu belirtildi. ',Dunya
'İtalyanın Lampedusa adası açıklarında alabora olan teknedeki 143 göçmen İtalyan sahil güvenliği tarafından kurtarıldı. İtalya Sahil Güvenlik Komutanlığından yapılan yazılı açıklamada bir vatandaşın uyarısı üzerine adanın 1 mil açığında zor durumdaki 10 metrelik bir tekne tespit edildiği ve bunun üzerine kurtarma operasyonu başlatıldığı bildirildi.Olumsuz hava ve deniz koşullarındaki kurtarma operasyonunda 143 göçmenin de kurtarıldığı can kaybının olmadığı belirtildi. İtalyan basınına yansıyan haberlerde ise denizden kurtarılan bazı göçmenlerin ifadelerine göre 20 kişinin kayıp olduğu ifade edildi. Bu arada İtalyadan güvenli liman çağrısına yanıt alamadığı için bir süredir açık denizde bekleyen Fransız sivil toplum kuruluşları (STK) Sınır Tanımayan Doktorlar Örgütü (MSF) ve SOS Akdenize ait Ocean Viking gemisine İtalyadan izin çıktı. Ocean Vikingin kurtardığı 213 göçmenle Messina Limanına yanaşacağı bildirildi. Öte yandan İspanyol STK Open Arms Twitter hesabından yaptığı açıklamada güvenli liman çağrılarına hala yanıt alamadıkları için kurtardıkları 73 göçmenle açık denizde 4 metrelik dalgalarla mücadele etmek durumunda kaldıklarını belirtti. ',Dunya
'Fransanın birçok kentinde binlerce kişi kadınlara uygulanan şiddeti protesto etti. Başkent Pariste Opera Meydanında toplanan eylemciler Nation Meydanına kadar yürüdü. Göstericiler yürüyüşte kadınlara yönelik fiziksel ve cinsel şiddeti protesto etti. Kadınların aile içi şiddet sonucu hayatını kaybetmesine de tepki gösteren eylemciler şiddet karşıtı sloganlar attı ve pankartlar taşıdı. Occurence adlı kuruluşa göre Pariste birçok sanatçının da yer aldığı eyleme 49 bin kişi katıldı. Gösteriye 70 dernek ve sendika da destek verdi. Fransanın Lille Bordeaux Toulouse ve Strazburg kentlerinde de gösteriler düzenlendi. Fransız basınında yer alan haberlere göre ocak ayından bu yana en az 116 kadın eşinin veya resmi olarak birlikte yaşadığı kişinin saldırısı sonucu yaşamını yitirdi. Yasalara göre ülkede evli olmayan çiftler ilgili makamlara bildirmeleri durumunda resmi olarak birlikte yaşama hakkına sahip oluyor. Resmi verilere göre Fransada her yıl 213 bin kadın eşi veya resmi olarak birlikte yaşadığı kişi tarafından fiziksel veya cinsel şiddete maruz kalıyor. ',Dunya
'İsrailin başkenti Tel Avivde düzenlenen gösteride 3 ayrı yolsuzluk dosyası nedeniyle hakkında dava açılmasına karar verilen Başbakan Binyamin Netanyahuya görevinden istifa etmesi çağrısı yapıldı. İsraildeki muhalefet partilerinden Demokratik Birlik İttifakı tarafından Habima Meydanında düzenlenen gösteriye Netanyahu karşıtı yüzlerce kişi katıldı. Netanyahunun fotoğrafının bulunduğu \"Suç başbakanı yazılı\" pankartlar taşıyan göstericiler sık sık \"Bibi (Netanyahu) eve git\" \"Netanyahu istifa\" sloganları attı.Tel Avivdeki gösteri Netanyahu hakkında dava açılmasına karar verilmesinin ardından düzenlenen ilk büyük gösteri oldu. \"Netanyahu siyaset sahnesinden silinecek ve hapse girecek\"Göstericilerden İşhai Hadaş AA muhabirine yaptığı açıklamada Netanyahunun 3 ayrı yolsuzluk dosyası nedeniyle hakkında dava açılmasına karar verilmesine rağmen İsraillilerin kendisini başbakan olarak görmek istediğine inandığını ve bunun saçma olduğunu söyledi. Çok kısa zaman içinde Netanyahunun siyaset sahnesinden silineceğini ve yeteri kadar hapiste kalacağını umduğunu dile getiren Hadaş \"Netanyahu dönemi bittikten sonra umarım onun uzun yıllardır bize verdiği zararı onarmaya başlarız.\" dedi.İsrail Başsavcısı Avichai Mandelblit perşembe akşamı 3 ayrı yolsuzluk dosyası nedeniyle Başbakan Netanyahu hakkında dava açmaya karar verdiğini açıklamıştı.Netanyahu Mandelblitin kararını \"kendisine karşı yapılmış darbe girişimi\" olarak nitelendirirken Benny Gantz liderliğindeki Mavi-Beyaz İttifakı Başsavcının kararına destek vererek İsrail Başbakanını eleştirmişti.İsraildeki yasalar gereği hakkında dava açılsa bile başbakan suçlu bulunana kadar görevinde kalma hakkına sahip bulunuyor. ',Dunya
'Beyaz Saray Sözcüsü Stephanie Grisham eski Ulusal Güvenlik Danışmanı John Boltonın Beyaz Sarayın kişisel Twitter hesabına girişini engellediği iddiasına Boltonın \"yaşlılıktan dolayı şifresini unutmuş olabileceği\" şeklinde yanıt verdi. ABDde tartışmalı şekilde görevinden alınan eski Ulusal Güvenlik Danışmanı Bolton ile Beyaz Saray arasında Twitter krizi çıktı. Bolton dün Twitter hesabından yaptığı açıklamada \"Ulusal Güvenlik Danışmanlığı görevimden ayrıldıktan sonra Beyaz Saray benim kişisel Twitter hesabıma dönmemi yasakladı. Belki de anlatacaklarımdan korktular.\" açıklamasında bulundu. Boltonın bu paylaşımı ABD basınında gündem olurken Beyaz Saray Sözcüsü Grisham da konuya ilişkin Fox News televizyonuna yaptığı açıklamada Boltonın Beyaz Saraydaki görevi süresince kişisel hesabını kullanmaya devam ettiğini belirtti.Grisham Boltonın yaşlılık nedeniyle hesabının şifresini unutmuş olabileceğini savunarak \"Kendi babamdan örnek veriyorum bazen ilerleyen yaşı nedeniyle anlayamayabiliyor ama Twitter şifrenizi unutmuşsanız siteyle irtibata geçip şifrenizi yenileyebiliyoruz. Boltonın durumunu da buna (ilerleyen yaşına) veriyorum.\" ifadelerini kullandı. Trumptan Boltona sert sözlerÖzellikle Venezuela ve İran konusunda ABD Başkanı Donald Trump ile uzun süredir anlaşamadığı ileri sürülen Bolton eylül ayında görevden alınmıştı.Trump konuya ilişkin yaptığı açıklamada Boltonın kendileriyle aynı çizgide olmadığını ve sert olduğunu vurgulamış ve danışmanı \"Bay sert adam\" olarak nitelendirmişti. ',Dunya
'İranın başkenti Tahran ve diğer büyük şehirlerdeki sabit hatlarda internete erişim engelinin kaldırıldığı bildirildi. İranda cuma günü benzine yapılan yüzde 300 zam üzerine başlayan protesto gösterileri nedeniyle cumartesi akşamdan itibaren ülkenin tamamında engellenen internet erişimi aşamalı olarak kaldırılıyor. Cuma günü gösterilerin az olduğu güneydeki Hürmüzgan ve Buşehrin ardından dün de Kuzey Horasan Güney Horasan Gülistan Yezd Hemedan Çaharmahal-Bahtiyari eyaletlerinde sabit hatlarda internete erişim sağlanmaya başlamıştı. Bu akşam saatlerinde ise başkent Tahran başta olmak üzere tüm büyük şehirlerdeki sabit hatlarda internet erişim engeli kaldırıldı. İran İletişim ve Bilgi Teknolojileri Bakanlığı yetkilileri yarından itibaren mobil hatlarda da internete erişimin sağlanabileceğini açıkladı.Öte yandan İran emniyetinden yapılan açıklamada ülke genelinde gösterileri organize eden 180 kişinin gözaltına alındığı kaydedildi. ',Dunya
'Son dakika: Ömer Çelikten bir CHPlinin Külliyeye gittiği iddiaları ile ilgili açıklama! ',Dunya
